City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Hermanus,ZA,61.81,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
Takoradi,GH,78.12,broken clouds,4.8845,-1.7554,Raybow International Hotel
Cockburn Town,TC,81.37,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
Atuona,PF,77.68,clear sky,-9.8,-139.0333,Villa Enata
Hilo,US,74.93,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
Rikitea,PF,74.34,overcast clouds,-23.1203,-134.9692,People ThankYou
Huizhou,CN,81.14,overcast clouds,23.0833,114.4,Kempinski Hotel Huizhou
Bredasdorp,ZA,62.83,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
Port Blair,IN,80.64,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
Hojai,IN,73.69,clear sky,26.0,92.8667,Luxury park hotel
Emerald,AU,91.35,few clouds,-23.5333,148.1667,Emerald Inn
Cape Town,ZA,66.38,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
Tuatapere,NZ,68.56,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
Port Elizabeth,ZA,62.89,clear sky,-33.918,25.5701,39 On Nile Guest House
Sao Joao Da Barra,BR,73.35,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
Bluff,NZ,64.9,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
Bol,TD,74.26,clear sky,13.4586,14.7147,Harrouni camp de passage
Mataura,NZ,70.02,overcast clouds,-46.1927,168.8643,Ellie's Villa
Aden,YE,79.21,clear sky,12.7794,45.0367,Sama Emirate Hotel
Bambous Virieux,MU,77.22,few clouds,-20.3428,57.7575,Casa Tia Villa
Caravelas,BR,75.6,light rain,-17.7125,-39.2481,Pousada dos Navegantes
Mahibadhoo,MV,81.5,overcast clouds,3.7833,72.9667,Omadhoo Inn
Bengkulu,ID,83.5,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
Busselton,AU,71.4,clear sky,-33.65,115.3333,Observatory Guest House
Kapaa,US,76.1,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
Tahta,EG,61.74,clear sky,26.7693,31.5021,فندق الزيات
Ahipara,NZ,63.79,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
Porto Novo,BJ,78.62,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
Naze,JP,67.12,light rain,28.3667,129.4833,Shishime Hotel
Lagoa,PT,62.04,broken clouds,39.05,-27.9833,Casa Das Faias
Sidney,AU,74.89,light rain,-33.8679,151.2073,The Grace Sydney
East London,ZA,67.5,overcast clouds,-33.0153,27.9116,Tu Casa
Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
Dingle,PH,86.34,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
Esperance,AU,64.65,broken clouds,-33.8667,121.9,Hospitality Esperance
Alta Gracia,AR,66.88,clear sky,-31.6529,-64.4283,Hotel Ritz
Arraial Do Cabo,BR,73.72,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
