City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,61.81,79,17,13.11,few clouds
1,Takoradi,GH,4.8845,-1.7554,78.12,83,70,6.35,broken clouds
2,Cockburn Town,TC,21.4612,-71.1419,81.37,71,31,13.4,scattered clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,69.55,85,54,4.0,broken clouds
4,Albany,US,42.6001,-73.9662,28.81,81,28,3.65,scattered clouds
5,Atuona,PF,-9.8,-139.0333,77.68,75,3,16.22,clear sky
6,Hilo,US,19.7297,-155.09,74.93,84,100,6.91,moderate rain
7,Rikitea,PF,-23.1203,-134.9692,74.34,84,100,13.47,overcast clouds
8,Huizhou,CN,23.0833,114.4,81.14,63,100,2.53,overcast clouds
9,Vostok,RU,46.4856,135.8833,25.34,57,16,5.21,few clouds
10,Bredasdorp,ZA,-34.5322,20.0403,62.83,72,25,12.53,scattered clouds
11,Port Blair,IN,11.6667,92.75,80.64,83,75,6.91,broken clouds
12,Irbit,RU,57.6705,63.071,14.25,90,100,12.17,overcast clouds
13,Nikolskoye,RU,59.7035,30.7861,32.92,97,100,7.34,snow
14,Litovko,RU,49.2361,135.1742,30.27,56,6,7.78,clear sky
15,Hojai,IN,26.0,92.8667,73.69,72,0,2.06,clear sky
16,Yellowknife,CA,62.456,-114.3525,25.32,100,100,13.8,light snow
17,Draganesti-Vlasca,RO,44.1014,25.5981,42.22,93,100,4.83,overcast clouds
18,Chauny,FR,49.6151,3.2186,45.52,89,82,10.02,broken clouds
19,Emerald,AU,-23.5333,148.1667,91.35,21,19,5.64,few clouds
20,Cape Town,ZA,-33.9258,18.4232,66.38,79,20,4.61,few clouds
21,Sitka,US,57.0531,-135.33,48.09,71,100,18.41,light rain
22,Tuatapere,NZ,-46.1333,167.6833,68.56,45,100,8.48,overcast clouds
23,Port Elizabeth,ZA,-33.918,25.5701,62.89,88,0,9.22,clear sky
24,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.35,95,100,7.27,light rain
25,Bluff,NZ,-46.6,168.3333,64.9,60,100,6.71,overcast clouds
26,Bol,TD,13.4586,14.7147,74.26,36,3,17.56,clear sky
27,Punta Arenas,CL,-53.15,-70.9167,51.91,66,75,16.11,broken clouds
28,Mataura,NZ,-46.1927,168.8643,70.02,58,99,2.3,overcast clouds
29,Cherskiy,RU,68.75,161.3,-32.22,100,95,5.44,overcast clouds
