City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nelson Bay,-32.7167,152.15,72.1,61,0,3.0,AU,2022-11-08 23:00:41
1,Wanning,18.8003,110.3967,74.71,92,91,8.05,CN,2022-11-08 23:00:42
2,New Norfolk,-42.7826,147.0587,69.71,53,93,1.99,AU,2022-11-08 23:00:42
3,Vaini,-21.2,-175.2,76.41,73,71,17.58,TO,2022-11-08 23:00:43
4,Leningradskiy,69.3833,178.4167,17.17,87,100,26.33,RU,2022-11-08 22:57:33
5,Port Alfred,-33.5906,26.891,64.18,93,62,0.85,ZA,2022-11-08 23:00:29
6,Lagos,6.5833,3.75,80.92,92,47,5.03,NG,2022-11-08 22:59:03
7,Buchanan,5.8808,-10.0467,77.22,88,77,4.72,LR,2022-11-08 23:00:43
8,Airai,-8.9266,125.4092,66.87,69,68,1.14,TL,2022-11-08 23:00:44
9,Kapaa,22.0752,-159.319,81.19,79,98,4.0,US,2022-11-08 22:58:36
10,Chuy,-33.6971,-53.4616,57.49,86,0,6.8,UY,2022-11-08 23:00:44
11,Esperance,-33.8667,121.9,59.94,74,100,6.98,AU,2022-11-08 23:00:45
12,Grants Pass,42.439,-123.3284,47.19,88,100,0.0,US,2022-11-08 23:00:45
13,Butaritari,3.0707,172.7902,80.74,75,60,10.45,KI,2022-11-08 23:00:45
14,Bengkulu,-3.8004,102.2655,75.69,90,100,3.83,ID,2022-11-08 23:00:46
15,Sambava,-14.2667,50.1667,69.96,86,73,6.78,MG,2022-11-08 23:00:46
16,Ushuaia,-54.8,-68.3,49.66,57,40,18.41,AR,2022-11-08 22:55:50
17,Qaanaaq,77.484,-69.3632,-11.11,73,22,7.56,GL,2022-11-08 23:00:47
18,Narsaq,60.9167,-46.05,26.82,70,10,7.34,GL,2022-11-08 23:00:22
19,Jamestown,42.097,-79.2353,43.05,69,1,1.99,US,2022-11-08 23:00:48
20,Barrow,71.2906,-156.7887,25.66,82,65,16.46,US,2022-11-08 23:00:06
21,Nome,64.5011,-165.4064,35.67,87,100,17.27,US,2022-11-08 23:00:49
22,Bredasdorp,-34.5322,20.0403,58.23,76,92,7.05,ZA,2022-11-08 23:00:49
23,Punta Arenas,-53.15,-70.9167,48.47,72,100,17.4,CL,2022-11-08 23:00:50
24,Provideniya,64.3833,-173.3,32.11,80,100,17.9,RU,2022-11-08 23:00:50
25,Caravelas,-17.7125,-39.2481,71.82,77,100,6.78,BR,2022-11-08 23:00:50
26,Kostryzhivka,48.6545,25.7132,46.94,90,32,4.14,UA,2022-11-08 23:00:51
27,Kruisfontein,-34.0033,24.7314,63.88,80,84,5.17,ZA,2022-11-08 23:00:51
28,Grand Gaube,-20.0064,57.6608,73.38,72,82,3.0,MU,2022-11-08 23:00:52
29,Bluff,-46.6,168.3333,56.19,79,100,22.75,NZ,2022-11-08 23:00:52
30,Torbay,47.6666,-52.7314,41.58,83,100,26.46,CA,2022-11-08 23:00:53
31,Rikitea,-23.1203,-134.9692,75.63,88,91,14.03,PF,2022-11-08 22:58:42
32,Portland,45.5234,-122.6762,50.61,70,48,10.0,US,2022-11-08 22:58:04
33,Faanui,-16.4833,-151.75,78.53,70,97,10.51,PF,2022-11-08 23:00:54
34,Westport,41.1415,-73.3579,53.82,36,0,4.0,US,2022-11-08 22:56:10
35,Tabuk,17.4189,121.4443,74.17,90,96,1.61,PH,2022-11-08 23:00:54
36,Saint-Philippe,-21.3585,55.7679,71.19,81,41,7.43,RE,2022-11-08 23:00:55
37,Tuktoyaktuk,69.4541,-133.0374,12.0,86,100,7.07,CA,2022-11-08 23:00:55
38,San Cristobal,7.7669,-72.225,73.58,95,95,0.98,VE,2022-11-08 22:55:57
39,Plaster Rock,46.9065,-67.39,36.59,58,75,16.55,CA,2022-11-08 23:00:56
40,San Mateo Ixtatan,15.8319,-91.4781,50.67,96,79,3.0,GT,2022-11-08 23:00:57
41,Albany,42.6001,-73.9662,43.66,47,0,5.46,US,2022-11-08 22:57:28
42,Esso,55.9333,158.7,15.04,90,71,4.05,RU,2022-11-08 23:00:57
43,Avarua,-21.2078,-159.775,77.05,65,75,11.5,CK,2022-11-08 23:00:58
44,Khatanga,71.9667,102.5,-15.83,100,99,6.02,RU,2022-11-08 23:00:58
45,Zhigansk,66.7697,123.3711,-13.22,96,99,9.42,RU,2022-11-08 22:56:12
46,Ponta Do Sol,32.6667,-17.1,70.72,83,78,7.94,PT,2022-11-08 23:01:59
47,Lebu,-37.6167,-73.65,57.16,85,90,7.61,CL,2022-11-08 23:01:59
48,Hilo,19.7297,-155.09,82.26,93,96,3.0,US,2022-11-08 23:01:59
49,Saint Anthony,45.0205,-93.218,49.6,69,100,17.27,US,2022-11-08 23:01:28
50,Ankang,32.68,109.0172,55.08,92,75,2.73,CN,2022-11-08 23:02:00
51,Saucillo,28.0167,-105.2833,83.28,19,97,8.59,MX,2022-11-08 23:02:00
52,San Patricio,28.017,-97.5169,82.18,65,30,12.21,US,2022-11-08 23:02:00
53,Carahue,-38.7,-73.1667,60.06,78,91,6.15,CL,2022-11-08 23:02:01
54,Upernavik,72.7868,-56.1549,4.68,63,24,7.14,GL,2022-11-08 23:02:01
55,Cabo San Lucas,22.8909,-109.9124,81.18,66,12,12.53,MX,2022-11-08 22:57:51
56,Pangnirtung,66.1451,-65.7125,9.63,66,100,3.83,CA,2022-11-08 23:00:23
57,Dikson,73.5069,80.5464,4.44,96,94,5.73,RU,2022-11-08 23:02:03
58,Port Elizabeth,-33.918,25.5701,66.09,75,78,5.01,ZA,2022-11-08 23:00:16
59,Kungurtug,50.5994,97.5228,27.79,83,100,1.07,RU,2022-11-08 23:02:03
60,Pevek,69.7008,170.3133,-7.13,100,91,3.47,RU,2022-11-08 23:02:04
61,Yellowknife,62.456,-114.3525,10.56,92,100,1.99,CA,2022-11-08 23:01:45
62,Busselton,-33.65,115.3333,60.67,76,76,4.72,AU,2022-11-08 23:02:05
63,Lake Charles,30.2131,-93.2044,83.03,67,20,5.75,US,2022-11-08 23:01:29
64,Araouane,18.9048,-3.5265,77.25,11,17,7.0,ML,2022-11-08 23:02:06
65,San Ciro De Acosta,21.6333,-99.8167,75.38,53,1,11.88,MX,2022-11-08 23:02:06
66,Thompson,55.7435,-97.8558,6.96,85,100,8.05,CA,2022-11-08 23:00:53
67,Mataura,-46.1927,168.8643,65.53,49,99,7.52,NZ,2022-11-08 23:02:07
68,Blantyre,-15.785,35.0085,74.73,41,97,3.09,MW,2022-11-08 23:00:20
69,Nanortalik,60.1432,-45.2371,27.34,70,25,9.26,GL,2022-11-08 23:02:07
70,Longyearbyen,78.2186,15.6401,24.64,74,75,4.61,SJ,2022-11-08 23:01:24
71,Cape Town,-33.9258,18.4232,65.37,72,62,1.01,ZA,2022-11-08 23:02:08
72,Fortuna,40.5982,-124.1573,49.66,89,100,5.75,US,2022-11-08 23:02:09
73,Mackay,-21.15,149.2,78.67,61,32,14.16,AU,2022-11-08 23:02:09
74,Atuona,-9.8,-139.0333,77.31,73,48,14.79,PF,2022-11-08 23:02:09
75,Petrykiv,49.5332,25.5809,45.46,92,29,6.44,UA,2022-11-08 23:02:10
76,Paracatu,-17.2222,-46.8747,68.2,88,92,2.57,BR,2022-11-08 23:02:10
77,Cabedelo,-6.9811,-34.8339,78.62,79,98,9.73,BR,2022-11-08 23:02:11
78,Saint George,37.1041,-113.5841,65.95,43,81,11.01,US,2022-11-08 22:59:48
79,Ugoofaaru,5.6667,73.0,80.69,76,66,8.84,MV,2022-11-08 23:02:12
80,Yaan,7.3833,8.5667,76.17,53,97,5.55,NG,2022-11-08 23:02:12
81,Nadvoitsy,63.8667,34.3167,38.12,97,100,7.52,RU,2022-11-08 23:02:12
82,Kampene,-3.6,26.6667,66.69,99,100,2.53,CD,2022-11-08 23:02:13
83,Mahanoro,-19.9,48.8,69.42,87,34,4.34,MG,2022-11-08 23:02:13
84,Lillooet,50.6856,-121.942,21.87,77,99,2.66,CA,2022-11-08 23:00:47
85,Lodja,-3.4833,23.4333,69.19,99,100,2.37,CD,2022-11-08 23:02:14
86,Vanimo,-2.6741,141.3028,80.8,80,100,2.44,PG,2022-11-08 23:02:14
87,Takoradi,4.8845,-1.7554,78.75,85,47,8.14,GH,2022-11-08 23:02:15
88,Hermanus,-34.4187,19.2345,59.81,78,71,10.76,ZA,2022-11-08 23:02:15
89,Ust-Nera,64.5667,143.2,-20.11,97,84,3.76,RU,2022-11-08 23:02:15
90,Griffith,41.5284,-87.4237,53.53,58,0,8.05,US,2022-11-08 23:03:16
91,Dabakala,8.3667,-4.4333,75.54,52,64,3.36,CI,2022-11-08 23:03:16
92,Comodoro Rivadavia,-45.8667,-67.5,71.78,32,5,17.02,AR,2022-11-08 23:01:52
93,Ingham,42.6,-84.3833,49.86,58,0,4.61,US,2022-11-08 23:00:17
94,Manresa,41.725,1.8266,62.24,82,52,3.8,ES,2022-11-08 23:03:16
95,Kihei,20.785,-156.4656,87.82,64,20,20.71,US,2022-11-08 23:03:17
96,Maragogi,-9.0122,-35.2225,76.98,83,15,7.74,BR,2022-11-08 23:03:17
97,Orito,0.6766,-76.8771,77.47,80,96,3.38,CO,2022-11-08 23:03:17
98,Sola,-13.8833,167.55,80.4,77,96,12.35,VU,2022-11-08 23:03:18
99,Sumabnit,16.0303,120.5832,76.42,86,36,3.47,PH,2022-11-08 23:03:18
100,Kavieng,-2.5744,150.7967,84.79,69,91,6.08,PG,2022-11-08 23:03:18
101,Ribeira Grande,38.5167,-28.7,65.77,83,63,7.0,PT,2022-11-08 23:03:19
102,Vanavara,60.34,102.2797,13.48,95,100,7.25,RU,2022-11-08 23:03:20
103,Tasiilaq,65.6145,-37.6368,30.36,96,100,7.45,GL,2022-11-08 23:03:20
104,Aklavik,68.2191,-135.0107,15.26,90,100,2.86,CA,2022-11-08 23:03:20
105,Nikita,44.5333,34.2333,40.35,74,39,1.1,UA,2022-11-08 23:03:21
106,Sao Filipe,14.8961,-24.4956,78.31,68,100,7.52,CV,2022-11-08 23:03:21
107,Hay River,60.8156,-115.7999,6.42,87,2,13.29,CA,2022-11-08 23:03:22
108,Hofn,64.2539,-15.2082,43.29,77,100,17.25,IS,2022-11-08 23:03:22
109,Ahipara,-35.1667,173.1667,65.28,77,44,9.55,NZ,2022-11-08 23:03:22
110,Lavrentiya,65.5833,-171.0,26.51,92,100,8.72,RU,2022-11-08 23:03:22
111,Cidreira,-30.1811,-50.2056,62.56,88,100,14.05,BR,2022-11-08 23:03:23
112,Briancon,44.9,6.65,42.35,86,67,3.76,FR,2022-11-08 23:03:23
